Date,DXY_Open,DXY_High,DXY_Low,DXY_Close,DXY_Adj_Close,USDCAD_Open,USDCAD_High,USDCAD_Low,USDCAD_Close,USDCAD_Tick_Volume,REAINTRATREARAT10Y,TOTBKCR,Consumer_Price_Index_Monthly_Change,Consumer_Price_Index_All_Urban_Consumers,Continued_Claims,Delinquency_Rate,Combined_Open,Combined_High,Combined_Low,Combined_Close,Combined_Adj_Close,Federal_Funds_Rate,Gross_Domestic_Product,Owners_Equity_Real_Estate,Inflation_Consumer_Prices,M1_Money_Stock,M2_Money_Stock,Unemployment_Level,MEDCPIM158SFRBCLE,PSAVERT,RHEACBW027SBOG_x,RHEACBW027SBOG_y,GDPC1
1994-01-03,96.760002,97.019997,96.540001,96.970001,96.970001,1.327,1.33,1.312,1.3141,2311.0,2.62016875,3011.1696,0.34199726402188,146.7,2705000.0,3.29,96.760002,97.019997,96.540001,96.970001,96.970001,3.15,7246.931,4985.339,2.9312041999344,1172.6,3502.8,8583.0,3.6058143013175,6.5,73.8723,73.8723,10333.495
1994-01-04,96.980003,97.089996,96.459999,96.550003,96.550003,1.3139,1.3185,1.3125,1.3169,901.0,2.62016875,3011.1696,0.34199726402188,146.7,2705000.0,3.29,96.980003,97.089996,96.459999,96.550003,96.550003,3.03,7246.931,4985.339,2.9312041999344,1172.6,3502.8,8583.0,3.6058143013175,6.5,73.8723,73.8723,10333.495
1994-01-05,96.510002,96.720001,96.389999,96.580002,96.580002,1.3167,1.3226,1.3105,1.3212,1971.0,2.62016875,3011.1696,0.34199726402188,146.7,2705000.0,3.29,96.510002,96.720001,96.389999,96.580002,96.580002,3.46,7246.931,4985.339,2.9312041999344,1172.6,3502.8,8583.0,3.6058143013175,6.5,73.8723,73.8723,10333.495
1994-01-06,96.769997,96.889999,96.300003,96.82,96.82,1.3205,1.324,1.3165,1.3195,1401.0,2.62016875,3011.1696,0.34199726402188,146.7,2705000.0,3.29,96.769997,96.889999,96.300003,96.82,96.82,3.08,7246.931,4985.339,2.9312041999344,1172.6,3502.8,8583.0,3.6058143013175,6.5,73.8723,73.8723,10333.495
1994-01-07,96.75,96.849998,95.989998,96.080002,96.080002,1.319,1.3248,1.3175,1.3195,1411.0,2.62016875,3011.1696,0.34199726402188,146.7,2705000.0,3.29,96.75,96.849998,95.989998,96.080002,96.080002,2.96,7246.931,4985.339,2.9312041999344,1172.6,3502.8,8583.0,3.6058143013175,6.5,73.8723,73.8723,10333.495
1994-01-10,96.040001,96.5,95.949997,96.43,96.43,1.318,1.32,1.3135,1.3186,1241.0,2.62016875,3011.1696,0.34199726402188,146.7,2705000.0,3.29,96.040001,96.5,95.949997,96.43,96.43,3.02,7246.931,4985.339,2.9312041999344,1169.0,3512.7,8583.0,3.6058143013175,6.5,73.8723,73.8723,10333.495
1994-01-11,96.449997,96.860001,96.43,96.690002,96.690002,1.317,1.323,1.3155,1.3218,1021.0,2.62016875,3011.1696,0.34199726402188,146.7,2705000.0,3.29,96.449997,96.860001,96.43,96.690002,96.690002,2.97,7246.931,4985.339,2.9312041999344,1169.0,3512.7,8583.0,3.6058143013175,6.5,73.8723,73.8723,10333.495
1994-01-12,96.629997,96.650002,96.199997,96.230003,96.230003,1.322,1.3237,1.316,1.323,1441.0,2.62016875,3012.2216,0.34199726402188,146.7,2705000.0,3.29,96.629997,96.650002,96.199997,96.230003,96.230003,2.93,7246.931,4985.339,2.9312041999344,1169.0,3512.7,8583.0,3.6058143013175,6.5,73.736,73.736,10333.495
1994-01-13,96.260002,96.910004,96.190002,96.769997,96.769997,1.322,1.324,1.3193,1.3206,801.0,2.62016875,3012.2216,0.34199726402188,146.7,2705000.0,3.29,96.260002,96.910004,96.190002,96.769997,96.769997,2.94,7246.931,4985.339,2.9312041999344,1169.0,3512.7,8583.0,3.6058143013175,6.5,73.736,73.736,10333.495
1994-01-14,96.779999,97.019997,96.629997,96.68,96.68,1.3217,1.3276,1.316,1.3242,2071.0,2.62016875,3012.2216,0.34199726402188,146.7,2705000.0,3.29,96.779999,97.019997,96.629997,96.68,96.68,2.95,7246.931,4985.339,2.9312041999344,1169.0,3512.7,8583.0,3.6058143013175,6.5,73.736,73.736,10333.495
